areaAsM2,minRange,maxRange,avEchoStrength,minEchoStrength,maxEchoStrength,cluster
0,2399.396973,2399.396973,2,1,3,2
0,3014.626953,3014.626953,2,2,2,2
0,19748.88281,19748.88281,2,2,2,0
0,49710.58203,49710.58203,1,1,1,1
0,50202.76563,50202.76563,1,1,2,1
0,50387.33594,50387.33594,1,1,1,1
0,1845.689941,1845.689941,3,1,6,2
0,20917.82031,20917.82031,3,1,5,0
0,62015.18359,62015.18359,1,1,1,1
0,2830.057861,2830.057861,2,1,5,2
0,3137.672852,3137.672852,1,1,1,2
0,3322.241943,3322.241943,3,1,8,2
0,41097.36328,41097.36328,1,1,1,1
0,50325.8125,50325.8125,1,1,1,1
0,3875.948975,3875.948975,1,1,2,2
0,17964.71484,17964.71484,1,1,1,0
0,62384.32031,62384.32031,2,2,2,1
0,6706.006836,6706.006836,4,2,6,2
0,21040.86523,21040.86523,7,1,15,0
0,48849.26172,48849.26172,1,1,1,1
0,861.3219604,861.3219604,3,3,3,2
0,50694.94922,50694.94922,2,1,4,1
0,15011.61133,15011.61133,4,4,5,2
0,21348.48047,21348.48047,1,1,2,0
0,21533.04883,21533.04883,4,4,6,0
0,4675.748047,4675.748047,4,1,8,2
0,6398.39209,6398.39209,1,1,3,2
0,11135.66309,11135.66309,1,1,1,2
0,21717.61914,21717.61914,1,1,1,0
0,22025.23438,22025.23438,2,2,2,0
0,60046.44531,60046.44531,1,1,1,1
0,1045.890991,1045.890991,2,2,2,2
0,3814.426025,3814.426025,1,1,2,2
0,5967.730957,5967.730957,1,1,1,2
0,48972.30859,48972.30859,1,1,2,1
0,15134.65723,15134.65723,3,1,6,0
0,22148.2793,22148.2793,4,1,8,0
0,22394.37109,22394.37109,4,1,7,0
0,49095.35156,49095.35156,3,1,7,1
0,18579.94531,18579.94531,2,2,2,0
0,22025.23438,22025.23438,1,1,1,0
0,49402.96875,49402.96875,2,1,3,1
0,56355.06641,56355.06641,1,1,1,1
0,10766.52441,10766.52441,1,1,1,2
0,9905.203125,9905.203125,2,2,2,2
0,18579.94531,18579.94531,1,1,2,0
0,51802.36328,51802.36328,2,2,3,1
0,3691.379883,3691.379883,1,1,1,2
0,3998.994873,3998.994873,4,4,4,2
0,4183.563965,4183.563965,3,1,6,2
0,4491.178711,4491.178711,1,1,1,2
0,4860.316895,4860.316895,1,1,1,2
0,51802.36328,51802.36328,1,1,3,1
0,27316.21094,27316.21094,1,1,2,0
0,51556.27344,51556.27344,2,1,3,1
0,18702.99219,18702.99219,6,1,12,0
0,4552.702148,4552.702148,1,1,3,2
0,10458.91016,10458.91016,1,1,3,2
0,51556.27344,51556.27344,3,3,4,1
0,51679.32031,51679.32031,2,1,4,1
0,10643.47852,10643.47852,1,1,3,2
0,11135.66309,11135.66309,1,1,1,2
0,15257.7041,15257.7041,4,3,5,0
0,3629.856934,3629.856934,7,1,15,2
0,4675.748047,4675.748047,1,1,4,2
0,13412.01367,13412.01367,1,1,3,2
0,19441.26758,19441.26758,1,1,2,0
0,3322.241943,3322.241943,4,2,6,2
0,10274.34082,10274.34082,1,1,1,2
0,12858.30664,12858.30664,1,1,1,2
0,46880.52344,46880.52344,1,1,1,1
0,3568.333984,3568.333984,8,8,8,2
0,12673.7373,12673.7373,1,1,1,2
0,19625.83594,19625.83594,1,1,1,0
0,50817.99609,50817.99609,5,3,7,1
0,4552.702148,4552.702148,1,1,1,2
0,246.0919952,246.0919952,1,1,1,2
0,10089.77148,10089.77148,1,1,3,2
0,10520.43262,10520.43262,1,1,1,2
0,9966.725586,9966.725586,1,1,1,2
0,56601.16016,56601.16016,1,1,1,1
0,2583.966064,2583.966064,3,1,13,2
0,18949.08398,18949.08398,7,1,13,0
0,22332.84766,22332.84766,1,1,1,0
0,43558.28125,43558.28125,1,1,1,1
0,51187.13672,51187.13672,1,1,3,1
0,13535.05957,13535.05957,1,1,1,2
0,50694.94922,50694.94922,2,1,5,1
0,51002.56641,51002.56641,1,1,1,1
0,52294.55078,52294.55078,2,2,2,1
0,52909.77734,52909.77734,1,1,1,1
0,3260.718994,3260.718994,1,1,1,2
0,3568.333984,3568.333984,2,1,5,2
0,7259.713867,7259.713867,2,1,4,2
0,10520.43262,10520.43262,2,2,2,2
0,15380.75,15380.75,2,2,2,0
0,34391.35547,34391.35547,1,1,1,0
0,58077.71094,58077.71094,1,1,1,1
0,4737.270996,4737.270996,1,1,1,2
0,7444.282715,7444.282715,1,1,2,2
0,13904.19727,13904.19727,1,1,2,2
0,14211.8125,14211.8125,2,1,6,2
0,51187.13672,51187.13672,1,1,1,1
0,246.0919952,246.0919952,1,1,1,2
0,492.1839905,492.1839905,1,1,3,2
0,1968.735962,1968.735962,1,1,1,2
0,14027.24414,14027.24414,3,1,6,2
0,15503.7959,15503.7959,6,1,13,0
0,2153.304932,2153.304932,1,1,1,2
0,3937.471924,3937.471924,2,1,4,2
0,18333.85352,18333.85352,3,1,6,0
0,19072.12891,19072.12891,2,2,3,0
0,19256.69922,19256.69922,2,2,2,0
0,61892.13672,61892.13672,1,1,1,1
0,4491.178711,4491.178711,1,1,1,2
0,369.1380005,369.1380005,3,3,3,2
0,2337.874023,2337.874023,1,1,2,2
0,3260.718994,3260.718994,9,9,9,2
0,9905.203125,9905.203125,1,1,1,2
0,18210.80859,18210.80859,1,1,1,0
0,50202.76563,50202.76563,3,1,9,1
0,24855.29102,24855.29102,4,2,7,0
0,7505.805664,7505.805664,3,1,7,2
0,15503.7959,15503.7959,2,2,2,0
0,18087.76172,18087.76172,1,1,1,0
0,50694.94922,50694.94922,1,1,1,1
0,3076.149902,3076.149902,2,1,3,2
0,9966.725586,9966.725586,1,1,2,2
0,3937.471924,3937.471924,1,1,1,2
0,4122.041016,4122.041016,2,2,2,2
0,4429.655762,4429.655762,1,1,1,2
0,4614.225098,4614.225098,1,1,1,2
0,14827.04297,14827.04297,1,1,1,2
0,49710.58203,49710.58203,1,1,1,1
0,57585.52734,57585.52734,1,1,3,1
0,59431.21875,59431.21875,1,1,1,1
0,60169.49219,60169.49219,1,1,1,1
0,2891.581055,2891.581055,1,1,1,2
0,4983.362793,4983.362793,1,1,1,2
0,9289.972656,9289.972656,1,1,1,2
0,35683.33984,35683.33984,1,1,1,0
0,3322.241943,3322.241943,2,1,4,2
0,10089.77148,10089.77148,1,1,1,2
0,10274.34082,10274.34082,1,1,1,2
0,17841.66992,17841.66992,1,1,2,0
0,3322.241943,3322.241943,1,1,1,2
0,4122.041016,4122.041016,1,1,3,2
0,25347.47461,25347.47461,3,1,6,0
0,51494.75,51494.75,3,3,3,1
0,2830.057861,2830.057861,1,1,1,2
0,3752.902832,3752.902832,3,1,8,2
0,51310.17969,51310.17969,3,1,5,1
0,54509.375,54509.375,1,1,1,1
0,2091.781982,2091.781982,1,1,1,2
0,5906.208008,5906.208008,1,1,1,2
0,24486.1543,24486.1543,1,1,2,0
0,45527.01953,45527.01953,1,1,1,1
0,51187.13672,51187.13672,1,1,1,1
0,3137.672852,3137.672852,1,1,1,2
0,4921.839844,4921.839844,3,1,4,2
0,17349.48633,17349.48633,4,4,5,0
0,25778.13672,25778.13672,1,1,1,0
0,6213.822754,6213.822754,1,1,1,2
0,3814.426025,3814.426025,1,1,1,2
0,6090.776855,6090.776855,1,1,1,2
0,12673.7373,12673.7373,1,1,2,2
0,25039.86133,25039.86133,1,1,1,0
0,5783.162109,5783.162109,1,1,2,2
0,50941.04297,50941.04297,1,1,2,1
0,51310.17969,51310.17969,2,1,6,1
0,62630.41406,62630.41406,1,1,1,1
0,5106.408691,5106.408691,2,1,4,2
0,40605.17969,40605.17969,1,1,1,1
0,50817.99609,50817.99609,1,1,1,1
0,16057.50293,16057.50293,1,1,1,0
0,17841.66992,17841.66992,5,2,8,0
0,18087.76172,18087.76172,4,2,6,0
0,47372.71094,47372.71094,1,1,1,1
0,3937.471924,3937.471924,1,1,1,2
0,14396.38184,14396.38184,1,1,2,2
0,16057.50293,16057.50293,1,1,2,0
0,37282.9375,37282.9375,1,1,1,0
0,51433.22656,51433.22656,1,1,1,1
0,10274.34082,10274.34082,1,1,1,2
0,29838.6543,29838.6543,2,2,2,0
0,14519.42773,14519.42773,5,1,8,2
0,17903.19336,17903.19336,1,1,1,0
0,14703.99707,14703.99707,1,1,1,2
0,16242.07129,16242.07129,2,2,3,0
0,4368.132813,4368.132813,1,1,1,2
0,13350.49121,13350.49121,1,1,2,2
0,14888.56543,14888.56543,5,1,12,2
0,16365.11816,16365.11816,5,3,6,0
0,43066.09766,43066.09766,1,1,1,1
0,3199.196045,3199.196045,3,1,7,2
0,3691.379883,3691.379883,1,1,1,2
0,5044.885742,5044.885742,4,3,6,2
0,1907.213013,1907.213013,2,1,4,2
0,4060.517822,4060.517822,1,1,2,2
0,4060.517822,4060.517822,3,1,6,2
0,4368.132813,4368.132813,1,1,1,2
0,7997.989746,7997.989746,1,1,1,2
0,15257.7041,15257.7041,1,1,3,0
0,4860.316895,4860.316895,2,2,2,2
0,7382.759766,7382.759766,7,1,15,2
0,3076.149902,3076.149902,1,1,1,2
0,3445.287842,3445.287842,2,2,3,2
0,3629.856934,3629.856934,6,5,8,2
0,3937.471924,3937.471924,2,2,2,2
0,17226.43945,17226.43945,1,1,2,0
0,17349.48633,17349.48633,7,1,15,0
0,17780.14648,17780.14648,1,1,1,0
0,27316.21094,27316.21094,2,2,3,0
0,27439.25781,27439.25781,3,1,7,0
0,5229.455078,5229.455078,1,1,1,2
0,27869.91797,27869.91797,1,1,1,0
0,307.6149902,307.6149902,1,1,1,2
0,4614.225098,4614.225098,1,1,1,2
0,15380.75,15380.75,3,2,4,0
0,15503.7959,15503.7959,4,1,8,0
0,56847.25,56847.25,1,1,1,1
0,57462.48047,57462.48047,1,1,1,1
0,5290.978027,5290.978027,11,2,15,2
0,4429.655762,4429.655762,2,2,2,2
0,15749.8877,15749.8877,2,1,3,0
0,6521.437988,6521.437988,1,1,1,2
0,9782.157227,9782.157227,1,1,1,2
0,15872.93359,15872.93359,6,2,10,0
0,56601.16016,56601.16016,2,2,2,1
0,4614.225098,4614.225098,1,1,2,2
0,5721.638672,5721.638672,1,1,1,2
0,4798.793945,4798.793945,4,3,8,2
0,5537.069824,5537.069824,1,1,2,2
0,5290.978027,5290.978027,1,1,1,2
0,11381.75488,11381.75488,1,1,1,2
0,46265.29688,46265.29688,1,1,1,1
0,4983.362793,4983.362793,4,3,6,2
0,5414.023926,5414.023926,2,1,6,2
0,15995.97949,15995.97949,3,1,10,0
0,60415.58594,60415.58594,1,1,1,1
0,25839.66016,25839.66016,1,1,1,0
0,26024.22852,26024.22852,1,1,1,0
0,27931.44141,27931.44141,2,1,5,0
0,35683.33984,35683.33984,1,1,1,0
0,59554.26172,59554.26172,1,1,1,1
0,61892.13672,61892.13672,1,1,2,1
0,11873.93848,11873.93848,1,1,1,2
0,60784.72266,60784.72266,1,1,1,1
0,16242.07129,16242.07129,6,1,15,0
0,20118.02148,20118.02148,1,1,1,0
0,52294.55078,52294.55078,1,1,1,1
0,2276.351074,2276.351074,1,1,1,2
0,4429.655762,4429.655762,1,1,2,2
0,5598.592773,5598.592773,1,1,2,2
0,9043.880859,9043.880859,1,1,2,2
0,4306.609863,4306.609863,1,1,1,2
0,4614.225098,4614.225098,3,3,3,2
0,4798.793945,4798.793945,2,1,4,2
0,5106.408691,5106.408691,3,1,8,2
0,58569.89453,58569.89453,1,1,1,1
0,11873.93848,11873.93848,1,1,1,2
0,17411.00781,17411.00781,2,1,3,0
0,17103.39453,17103.39453,3,1,5,0
0,4491.178711,4491.178711,1,1,1,2
0,4860.316895,4860.316895,1,1,1,2
0,23009.60156,23009.60156,1,1,3,0
0,40605.17969,40605.17969,1,1,1,1
0,7382.759766,7382.759766,2,1,5,2
0,11258.70898,11258.70898,1,1,1,2
0,21410.00391,21410.00391,2,2,2,0
0,4737.270996,4737.270996,1,1,1,2
0,21840.66406,21840.66406,1,1,1,0
0,27070.11914,27070.11914,5,1,12,0
0,55616.78906,55616.78906,1,1,1,1
0,4675.748047,4675.748047,1,1,2,2
0,43250.66797,43250.66797,1,1,1,1
0,50325.8125,50325.8125,1,1,1,1
0,7259.713867,7259.713867,2,1,3,2
0,1968.735962,1968.735962,1,1,1,2
0,2091.781982,2091.781982,3,1,6,2
0,3260.718994,3260.718994,1,1,1,2
0,3076.149902,3076.149902,1,1,1,2
0,21533.04883,21533.04883,2,1,5,0
0,21779.14063,21779.14063,1,1,1,0
0,11750.89258,11750.89258,1,1,1,2
0,26577.93555,26577.93555,3,1,6,0
0,59308.17188,59308.17188,1,1,1,1
0,20548.68164,20548.68164,1,1,1,0
0,21410.00391,21410.00391,1,1,1,0
0,2091.781982,2091.781982,2,2,2,2
0,21779.14063,21779.14063,2,1,3,0
0,26700.98242,26700.98242,4,1,9,0
0,5167.932129,5167.932129,2,2,3,2
0,7321.236816,7321.236816,1,1,1,2
0,53894.14844,53894.14844,1,1,1,1
0,5290.978027,5290.978027,4,1,9,2
0,27131.64258,27131.64258,1,1,1,0
0,52048.45703,52048.45703,1,1,1,1
0,21533.04883,21533.04883,1,1,1,0
0,55493.74609,55493.74609,1,1,2,1
0,3383.764893,3383.764893,1,1,1,2
0,4614.225098,4614.225098,1,1,1,2
0,36175.52344,36175.52344,1,1,1,0
0,2153.304932,2153.304932,1,1,2,2
0,36421.61719,36421.61719,1,1,1,0
0,5783.162109,5783.162109,3,1,6,2
0,61399.95313,61399.95313,1,1,1,1
0,8244.082031,8244.082031,1,1,1,2
0,59431.21875,59431.21875,1,1,1,1
0,42204.77734,42204.77734,1,1,2,1
0,22517.41797,22517.41797,6,5,7,0
0,3629.856934,3629.856934,2,2,2,2
0,5906.208008,5906.208008,5,1,9,2
0,56232.01953,56232.01953,1,1,1,1
0,7936.466797,7936.466797,1,1,1,2
0,22578.94141,22578.94141,1,1,1,0
0,8182.559082,8182.559082,1,1,1,2
0,62753.45703,62753.45703,2,2,2,1
0,6029.253906,6029.253906,8,3,15,2
0,22394.37109,22394.37109,2,2,3,0
0,37898.16797,37898.16797,1,1,1,0
0,55616.78906,55616.78906,1,1,1,1
0,5537.069824,5537.069824,3,1,8,2
0,8182.559082,8182.559082,2,1,3,2
0,20671.72852,20671.72852,1,1,2,0
0,22086.75586,22086.75586,2,2,2,0
0,5414.023926,5414.023926,1,1,3,2
0,48480.125,48480.125,1,1,1,1
0,6152.299805,6152.299805,6,1,13,2
0,30392.36133,30392.36133,4,1,8,0
0,50571.90625,50571.90625,1,1,1,1
0,62507.36719,62507.36719,1,1,1,1
0,3506.811035,3506.811035,1,1,1,2
0,54632.42188,54632.42188,1,1,1,1
0,4245.086914,4245.086914,1,1,1,2
0,4491.178711,4491.178711,1,1,1,2
0,21840.66406,21840.66406,6,1,13,0
0,22332.84766,22332.84766,1,1,1,0
0,30823.02148,30823.02148,1,1,1,0
0,62630.41406,62630.41406,1,1,1,1
0,21656.0957,21656.0957,2,1,3,0
0,45157.88281,45157.88281,1,1,1,1
0,24670.72266,24670.72266,1,1,1,0
0,38390.35156,38390.35156,1,1,1,0
0,6275.345703,6275.345703,6,4,9,2
0,11996.98438,11996.98438,1,1,1,2
0,61830.61328,61830.61328,1,1,2,1
0,6398.39209,6398.39209,9,1,15,2
0,50941.04297,50941.04297,1,1,1,1
0,61892.13672,61892.13672,2,1,8,1
0,57954.66406,57954.66406,1,1,1,1
0,62507.36719,62507.36719,1,1,2,1
0,8920.834961,8920.834961,1,1,1,2
0,4368.132813,4368.132813,1,1,1,2
0,12735.26074,12735.26074,1,1,1,2
0,62322.79688,62322.79688,1,1,1,1
0,8736.265625,8736.265625,1,1,2,2
0,29407.99414,29407.99414,1,1,1,0
0,29531.03906,29531.03906,3,1,6,0
0,29715.60938,29715.60938,1,1,1,0
0,21410.00391,21410.00391,2,2,2,0
0,10520.43262,10520.43262,1,1,1,2
0,21533.04883,21533.04883,2,1,7,0
0,28792.76367,28792.76367,1,1,2,0
0,47987.9375,47987.9375,1,1,1,1
0,60784.72266,60784.72266,1,1,1,1
0,7013.62207,7013.62207,6,1,14,2
0,61646.04297,61646.04297,2,1,4,1
0,10089.77148,10089.77148,1,1,1,2
0,47987.9375,47987.9375,1,1,1,1
0,61830.61328,61830.61328,1,1,1,1
0,42450.87109,42450.87109,1,1,1,1
